unl_b95d2e91   [Unknown->is-a->Thought] 1.00
unl_02c1a1e5   [dog->is-a->Unknown] 1.00
unl_72066b02   [go->is-a->Unknown] 1.00
unl_79623fbd   [outside->is-a->Unknown] 1.00
unl_e05bf841   [play->is-a->Unknown] 1.00
unl_0d777847   [fetch->is-a->Unknown] 1.00
unl_c333331b   [inside->is-a->Unknown] 1.00
unl_8c02c6b4   [Fido->is-a->dog] 1.00
unl_af1e4f6a   [is-a->hasProperty->isTransitive] 1.00
unl_4c616b10   [is-a->hasProperty->inheritable] 1.00
unl_2dbe9a80   [Fido->is->brown] 1.00
unl_5fddc29d   [Fido->go->outside] 1.00
unl_a4aa5e9b   [Fido->play->fetch] 1.00
unl_5d21642b   [Fido->go->inside] 1.00
unl_0600ede7   [Fido->events->fido-seq00] 1.00
unl_1550af15   [fido-seq00->FRST->fido-seq00] 1.00
unl_7b6afc3a   [fido-seq00->VLU] 1.00
unl_11456ea5   [fido-seq00->NXT->fido-seq3] 1.00
unl_f4bca729   [fido-seq3->FRST->fido-seq00] 1.00
unl_10c6b3d4   [fido-seq3->VLU] 1.00
unl_b12cde9e   [fido-seq3->NXT] 1.00
