unl_26b6718b   [Unknown->is-a->Thought] 1.00
unl_f34d12e0   [Fido->is-a->Unknown] 1.00
unl_98dea255   [go->is-a->Unknown] 1.00
unl_3782ef94   [in->is-a->Unknown] 1.00
unl_a25072ba   [play->is-a->Unknown] 1.00
unl_c731a197   [golf->is-a->Unknown] 1.00
unl_6d5c9ae0   [Fido->go->in] 0.90
unl_df8c2a90   [Fido->events->fido-seq0] 1.00
unl_d7544b77   [Fido->play->golf] 0.90
unl_07f1815b   [is-a->hasProperty->isTransitive] 1.00
unl_28690011   [is-a->hasProperty->inheritable] 1.00
unl_25c47d7d   [fido-seq0->FRST->fido-seq0] 1.00
unl_045cc37d   [fido-seq0->VLU->unl_d7544b77] 1.00
unl_f1ff0a58   [fido-seq0->NXT->fido-seq1] 1.00
unl_ff6974cd   [fido-seq1->FRST->fido-seq0] 1.00
unl_91aa55fd   [fido-seq1->VLU->unl_6d5c9ae0] 1.00
unl_9bed43d1   [fido-seq1->NXT] 1.00
