[Alice,lives-in,Seattle] WHEN [Alice,works-at,TechCorp]
[Bob,married-to,Carol] AFTER [Bob,proposed-to,Carol]
[Dave,is-friends-with,Eve] BECAUSE [Dave,met-at,AIConference]
[Frank,went-to,store] WITH [Grace,went-to,store]
[Henry,called,Ivy] BEFORE [Henry,emailed,Ivy]
[Jack,invited,Grace] IF [Grace,is-friends-with,Jack]
[Carol,studied-at,MIT] BEFORE [Carol,worked-at,ResearchLab]
[Alice,visited,Paris] AFTER [Alice,booked,flight]
[Bob,drives,car] WHILE [Bob,commutes-to,TechCorp]
[Frank,mentors,Ivy] BECAUSE [Frank,senior-at,TechCorp]
[Eve,attended,Meetup] WITH [Dave,attended,Meetup]
[Henry,manages,TeamA] IF [Henry,works-at,TechCorp]
[Ivy,met,Jack] AT [TechConference,is-held,SanFrancisco]
[Grace,lives-in,Austin] UNLESS [Grace,accepts-offer,NewYorkCompany]
[SmithFamily,has,child,3] BECAUSE [SmithFamily,values,Family]
